step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate
1,1.7105519771575928,0.7938931584358215,,,,,,,
2,2.038158416748047,0.7747747898101807,,,,,,,
3,1.965531826019287,0.7936508059501648,,,,,,,
4,1.4320756196975708,0.8559321761131287,,,,,,,
5,1.3151743412017822,0.8413792848587036,,,,,,,
6,1.5674701929092407,0.7954545617103577,,,,,,,
7,1.7836335897445679,0.7839999794960022,,,,,,,
8,1.467954397201538,0.7724137902259827,,,,,,,
9,1.5599228143692017,0.8396946787834167,,,,,,,
10,1.5435987710952759,0.7867646813392639,,,,,,,
11,1.6584653854370117,0.7762237787246704,,,,,,,
12,1.5556291341781616,0.824999988079071,,,,,,,
13,1.6735191345214844,0.7538461685180664,,,,,,,
14,1.927333950996399,0.7777777910232544,,,,,,,
15,1.653753638267517,0.779411792755127,,,,,,,
16,1.580184817314148,0.8194444179534912,,,,,,,
17,1.5339041948318481,0.7950310707092285,,,,,,,
18,1.402052640914917,0.8230769038200378,,,,,,,
19,1.5061389207839966,0.8320610523223877,,,,,,,
20,1.208351492881775,0.8068965673446655,,,,,,,
21,1.788469672203064,0.7822580933570862,,,,,,,
22,1.3726286888122559,0.8432835936546326,,,,,,,
23,1.220711350440979,0.8367347121238708,,,,,,,
24,1.537200927734375,0.7931034564971924,,,,,,,
25,1.9534416198730469,0.7633587718009949,,,,,,,
26,1.2967020273208618,0.8524590134620667,,,,,,,
27,2.150210380554199,0.7241379022598267,,,,,,,
28,1.3599306344985962,0.8205128312110901,,,,,,,
29,1.688223123550415,0.7890625,,,,,,,
30,1.8504542112350464,0.7777777910232544,,,,,,,
31,1.4822452068328857,0.7908496856689453,,,,,,,
32,1.3296773433685303,0.8031495809555054,,,,,,,
33,1.7738972902297974,0.7866666913032532,,,,,,,
34,1.2625236511230469,0.7898550629615784,,,,,,,
35,1.4551937580108643,0.8549618124961853,,,,,,,
36,1.55718994140625,0.8157894611358643,,,,,,,
37,1.1105245351791382,0.8057553768157959,,,,,,,
38,1.3052151203155518,0.8156028389930725,,,,,,,
39,1.204890251159668,0.8142856955528259,,,,,,,
40,1.13313889503479,0.8695651888847351,,,,,,,
41,1.4268361330032349,0.8083333373069763,,,,,,,
42,1.0590038299560547,0.8270676732063293,,,,,,,
43,1.2386624813079834,0.8153846263885498,,,,,,,
44,1.0881285667419434,0.847328245639801,,,,,,,
45,1.0508443117141724,0.7954545617103577,,,,,,,
46,1.6996102333068848,0.7606837749481201,,,,,,,
47,1.0928584337234497,0.8225806355476379,,,,,,,
48,0.9499746561050415,0.8222222328186035,,,,,,,
49,1.2174711227416992,0.8661417365074158,,,,,,,
50,1.1593081951141357,0.7966101765632629,,,,,,,
51,1.1458141803741455,0.800000011920929,,,,,,,
52,1.255243182182312,0.800000011920929,,,,,,,
53,1.328168511390686,0.8048780560493469,,,,,,,
54,1.2480146884918213,0.7651515007019043,,,,,,,
55,0.7638312578201294,0.8321167826652527,,,,,,,
56,1.0875353813171387,0.8051947951316833,,,,,,,
57,1.0302878618240356,0.8125,,,,,,,
58,0.9476747512817383,0.8449612259864807,,,,,,,
59,1.0751982927322388,0.8181818127632141,,,,,,,
60,1.5071024894714355,0.8032786846160889,,,,,,,
61,0.866766095161438,0.8181818127632141,,,,,,,
62,0.9812554121017456,0.7833333611488342,,,,,,,
63,0.8849577307701111,0.8450704216957092,,,,,,,
64,1.0286839008331299,0.7795275449752808,,,,,,,
65,0.8909938335418701,0.8095238208770752,,,,,,,
66,0.8659375309944153,0.8292682766914368,,,,,,,
67,0.8482363820075989,0.7952755689620972,,,,,,,
68,0.5284967422485352,0.8273381590843201,,,,,,,
69,0.8877464532852173,0.8139534592628479,,,,,,,
70,0.4943385422229767,0.8652482032775879,,,,,,,
71,0.669593095779419,0.8201438784599304,,,,,,,
72,0.7923265099525452,0.8544303774833679,,,,,,,
73,0.6139621734619141,0.8507462739944458,,,,,,,
74,0.8501009941101074,0.8345864415168762,,,,,,,
75,1.234946846961975,0.7905405163764954,,,,,,,
76,0.7104112505912781,0.8273381590843201,,,,,,,
77,0.8466907143592834,0.8461538553237915,,,,,,,
78,0.4716317355632782,0.8931297659873962,,,,,,,
79,0.8263938426971436,0.8333333134651184,,,,,,,
80,0.5918542146682739,0.8571428656578064,,,,,,,
81,0.747444212436676,0.8657718300819397,,,,,,,
82,0.559864342212677,0.8939393758773804,,,,,,,
83,0.8180617690086365,0.8617886304855347,,,,,,,
84,0.47542741894721985,0.8888888955116272,,,,,,,
85,0.3553015887737274,0.9172932505607605,,,,,,,
86,0.5725449919700623,0.8698630332946777,,,,,,,
87,0.683292806148529,0.8540145754814148,,,,,,,
88,0.6001167893409729,0.8880000114440918,,,,,,,
89,0.7793174386024475,0.8657718300819397,,,,,,,
90,0.4120403826236725,0.9142857193946838,,,,,,,
91,0.6790333986282349,0.8870967626571655,,,,,,,
92,1.087428092956543,0.8803418874740601,,,,,,,
93,0.6424864530563354,0.8947368264198303,,,,,,,
94,0.7184708714485168,0.8503401279449463,,,,,,,
95,0.9189693927764893,0.8717948794364929,,,,,,,
96,0.9593717455863953,0.8467153310775757,,,,,,,
97,0.49963855743408203,0.871999979019165,,,,,,,
98,0.6119992136955261,0.8794326186180115,,,,,,,
99,0.7712661623954773,0.8661971688270569,,,,,,,
100,0.8022424578666687,0.8629032373428345,,0.3955098072081122,0.9083969465648855,,,,
101,0.7740147709846497,0.8723404407501221,,,,,,,
102,0.48223796486854553,0.9217391014099121,,,,,,,
103,0.36032038927078247,0.908450722694397,,,,,,,
104,0.6371533274650574,0.8652482032775879,,,,,,,
105,0.3351537883281708,0.9034482836723328,,,,,,,
106,0.7783961892127991,0.8611111044883728,,,,,,,
107,0.7374664545059204,0.8799999952316284,,,,,,,
108,0.6932401061058044,0.8823529481887817,,,,,,,
